任務領域,詞彙,漢語拼音,詞類
,輸,shū ,(VA)
,贏,yíng ,(VA)
,有時候,yǒushíhòu ,(Adv)
,常常,chángcháng ,(Adv)
,久,jiǔ ,(VS)
,先,xiān ,(Adv)
,再,zài ,(Adv)
,每,měi ,(Det)
,次,cì ,(M)
,報紙,bàozhǐ ,(N)
,照片,zhàopiàn ,(N)
,書,shū ,(N)
,唱歌/唱歌兒,chànggē/chànggēr ,(VA)
,玩/玩兒,wán/wánr ,(VA)
與他人的關係,朋友,péngyǒu ,(N)
,介紹,jièshào ,(VA)
,認識,rènshi ,(VS)
,謝謝,xièxie,(VS)
,不客氣,bùkèqì ,
,對不起,duìbuqǐ ,
,沒關係(ㄒㄧ˙),méiguānxi ,(VS)
,再見,zàijiàn ,(VA)
,請問,qǐngwèn ,
,怎麼樣,zěnmeyàng ,
,禮物,lǐwù ,(N)
,歡迎,huānyíng ,(VS)
,晚會,wǎnhuì ,(N)
,做,zuò ,(VA)
,信,xìn ,(N)
,信封,xìnfēng ,(N)
,寄,jì ,(VA)
,接,jiē ,(VA)
,郵局,yóujú ,(N)
,銀行,yínháng ,(N)
,警察,jǐngchá ,(N)
,壞,huài ,(VS)
,幫忙,bāngmáng ,(VA)
,換,huàn ,(VA)
,東西,dōngxi ,(N)
,叫,jiào ,(VA)
,找,zhǎo ,(VA)
,什麼/甚麼,shénme,(Det)
,嗎,ma,(P)
,呢,ne ,(P)
,喂(ㄨㄟˊ)/喂,wéi/wèi,(P)
,吧,ba ,(P)
旅行,計程車,jìchéngchē ,(N)
,地鐵,dìtiě ,(N)
,車站,chēzhàn ,(N)
,火車,huǒchē ,(N)
,飛機,fēijī ,(N)
,飛機場/機場,fēijīchǎng/jīchǎng ,(N)
,公共汽車/公車,gōnggòngqìchē/gōngchē ,(N)
,車(子),chē(zi) ,(N)
,開車,kāichē ,(VA)
,帶,dài ,(VA)
,去,qù ,(VA)
,出去,chūqù ,(VA)
,進來,jìnlái ,(VA)
,回,huí ,(VA)
,馬路,mǎlù ,(N)
,十字路口,shízìlùkǒu ,(N)
,中間,zhōngjiān ,(N)
,對面,duìmiàn ,(N)
,附近,fùjìn ,(N)
,旁邊,pángbiān,(N)
,後(面),hòu(miàn),(N)
,前(面),qián(miàn) ,(N)
,左邊,zuǒbiān,(N)
,右邊,yòubiān,(N)
,外面,wàimiàn ,(N)
,裡面,lǐmiàn ,(N)
,下(面),xià(miàn),(N)
,上(面),shàng(miàn),(N)
,這,zhè ,(Det)
,那,nà ,(Det)
,哪,nǎ ,(Det)
,這裡/這兒,zhèlǐ/zhèr ,(N)
,那裡/那兒,nàlǐ/nàr ,(N)
,哪裡/哪兒,nǎlǐ/nǎr ,(N)
,怎麼,zěnme ,(Adv)
,旅行,lǚxíng ,(VA)
,飯店,fàndiàn ,(N)
,旅館,lǚguǎn ,(N)
,地方,dìfāng ,(N)
,參觀,cānguān ,(VA)
