壓力,yālì ,(N)
壓迫,yāpò ,(VA)
牙膏,yágāo ,(N)
煙/菸,yān,(N)
沿,yán ,(Prep)
嚴,yán ,(VS)
嚴格,yángé ,(VS)
嚴肅,yánsù ,(VS)
鹽巴,yánbā ,(N)
延長,yáncháng ,(VA)
癌症,yánzhèng ,(N)
演唱,yănchàng ,(VA)
演奏,yănzòu ,(VA)
掩蓋,yăngài ,(VA)
宴會,yànhuì ,(N)
厭惡,yànwù ,(VS)
癢,yăng ,(VS)
氧氣,yăngqì ,(N)
樣品,yàngpĭn ,(N)
喲,yāo ,(P)
腰,yāo ,(N)
搖,yáo ,(VA)
搖擺,yáobăi ,(VA)
搖頭,yáotóu ,(VA)
要不,yàobù ,(Conj)
要好,yàohăo ,(VS)
要命,yàomìng ,(VS)
藥方,yàofāng ,(N)
藥水,yàoshuĭ ,(N)
藥物,yàowù ,(N)
野,yě ,(VS)
野獸,yěshòu ,(N)
野心,yěxīn ,(N)
夜景,yèjǐng ,(N)
夜晚,yèwăn ,(N)
業務,yèwù ,(N)
業餘,yèyú ,(VS)
葉子,yèzi ,(N)
一一,yīyī ,(Adv)
衣裳,yīshang ,(N)
依據,yījù ,(N)
依然,yīrán ,(Adv)
醫,yī ,(VA)
醫師,yīshī ,(N)
醫學,yīxué ,(N)
一帶,yídài ,(N)
一旦,yídàn ,(Conj)
一大早,yídàzăo ,(N)
一面,yímiàn ,(Adv)
一再,yízài ,(Adv)
一致,yízhì ,(VS)
移,yí ,(VA)
移動,yídòng ,(VA)
移民,yímín ,(VA)
疑問,yíwèn ,(N)
儀器,yíqì ,(N)
儀式,yíshì ,(N)
乙,yĭ,(Det)
已婚,yĭhūn,(VS)
以,yĭ,(Conj)
以便,yĭbiàn ,(Conj)
以及,yĭjí ,(Conj)
以往,yĭwăng ,(N)
一般而言,yìbānéryán ,(Conj)
一口氣,yìkŏuqì ,(Adv)
一旁,yìpáng ,(N)
一齊,yìqí ,(Adv)
一天到晚,yìtiāndàowăn ,(Adv)
易,yì ,(VS)
意識,yìshì ,(N)
意外,yìwài ,(VS)
意願,yìyuàn,(N)
意志,yìzhì ,(N)
億,yì ,(Det)
義務,yìwù ,(N)
議會,yìhuì ,(N)
因而,yīnér ,(Conj)
因素,yīnsù ,(N)
銀,yín ,(N)
引發,yĭnfā ,(VA)
飲,yĭn ,(VA)
飲食,yĭnshí ,(N)
印,yìn ,(VA)
印刷,yìnshuā ,(VA)
印象,yìnxiàng ,(N)
印章,yìnzhāng ,(N)
應當,yīngdāng ,(Adv)
嬰兒,yīngér ,(N)
英雄,yīngxióng ,(N)
贏得,yíngdé ,(VS)
迎接,yíngjiē ,(VA)
營養,yíngyăng ,(VS)
營業,yíngyè ,(VA)
影本,yĭngběn ,(N)
影印,yĭngyìn ,(VA)
影子,yĭngzi ,(N)
硬,yìng ,(VS)
應付,yìngfù ,(VA)
應邀,yìngyāo ,(VA)
應用,yìngyòng ,(VA)
擁抱,yŏngbào ,(VA)
擁護,yŏnghù ,(VA)
擁擠,yŏngjĭ ,(VS)
勇氣,yŏngqì ,(N)
用不著,yòngbùzháo,(Adv)
用處,yòngchù ,(N)
用得著,yòngdezháo,(VS)
用具,yòngjù ,(N)
用力,yònglì ,(VS)
用心,yòngxīn ,(VS)
憂鬱,yōuyù ,(VS)
優惠,yōuhuì ,(VS)
優良,yōuliáng ,(VS)
優美,yōuměi ,(VS)
優越,yōuyuè ,(VS)
由,yóu ,(Prep)
油,yóu ,(VS)
油膩,yóunì ,(VS)
游,yóu ,(VA)
郵差,yóuchāi ,(N)
郵件,yóujiàn ,(N)
遊戲,yóuxì ,(N)
遊戲,yóuxì ,(VA)
遊行,yóuxíng ,(VA)
猶豫,yóuyù ,(VS)
友好,yŏuhăo ,(VS)
有關,yŏuguān ,(Prep)
有關,yŏuguān ,(VS)
有力,yŏulì ,(VS)
有利,yŏulì ,(VS)
有些,yŏuxiē ,(Adv)
有些,yŏuxiē ,(Det)
娛樂,yúlè ,(N)
語調,yŭdiào ,(N)
語氣,yŭqì ,(N)
語音,yŭyīn ,(N)
與其,yŭqí ,(Conj)
遇,yù ,(VS)
遇見,yùjiàn ,(VA)
預報,yùbào ,(N)
預定,yùdìng ,(VA)
預訂,yùdìng ,(VA)
預計,yùjì ,(VA)
預算,yùsuàn ,(N)
預先,yùxiān ,(Adv)
冤枉,yuānwăng ,(VS)
元旦,yuándàn ,(N)
原來,yuánlái ,(VS)
原理,yuánlĭ ,(N)
原料,yuánliào ,(N)
原始,yuánshĭ ,(VS)
原先,yuánxiān ,(Adv)
原則,yuánzé ,(N)
原則上,yuánzéshàng ,(Adv)
原子筆,yuánzĭbĭ ,(N)
圓滿,yuánmăn ,(VS)
圓形,yuánxíng ,(N)
緣故,yuángù ,(N)
遠大,yuăndà ,(VS)
願,yuàn ,(VS)
月份,yuèfèn ,(N)
月光,yuèguāng ,(N)
月球,yuèqiú ,(N)
暈,yūn ,(VS)
允許,yŭnxŭ ,(VA)
運輸,yùnshū ,(VA)
運送,yùnsòng ,(VA)
運用,yùnyòng ,(VA)
運轉,yùnzhuăn ,(VA)
砸,zá ,(VA)
雜,zá ,(VS)
災害,zāihài ,(N)
災難,zāinàn ,(N)
在,zài,(VA)
在乎,zàihū ,(VS)
再度,zàidù ,(Adv)
再說,zàishuō ,(Conj)
載,zài ,(VA)
咱們,zánmen ,(N)
贊成,zànchéng ,(VS)
贊同,zàntóng ,(VS)
讚美,zànměi ,(VA)
葬禮,zànglĭ,(N)
糟,zāo ,(VS)
糟糕,zāogāo ,(VS)
遭到,zāodào ,(VS)
遭受,zāoshòu ,(VS)
遭遇,zāoyù ,(N)
早晨,zăochén ,(N)
早點,zăodiăn ,(Adv)
早點,zăodiăn ,(N)
早晚,zǎowǎn ,(Adv)
早已,zăoyĭ ,(Adv)
造,zào ,(VA)
造句,zàojù ,(VA)
則,zé ,(Adv)
則,zé ,(M)
怎,zěn ,(Adv)
增長,zēngzhăng ,(VS)
贈品,zèngpĭn ,(N)
贈送,zèngsòng ,(VA)
窄,zhăi ,(VS)
展出,zhănchū ,(VA)
展開,zhănkāi ,(VA)
展覽,zhănlăn ,(N)
展覽,zhănlăn ,(VA)
展示,zhănshì ,(VA)
占/佔,zhàn ,(VA)
占/佔,zhàn ,(VS)
占/佔有,zhànyŏu ,(VS)
站住,zhànzhù ,(VA)
戰場,zhànchăng ,(N)
張,zhāng ,(VA)
章,zhāng ,(M)
長,zhǎng ,(VS)
長輩,zhǎngbèi,(N)
漲,zhăng ,(VS)
漲價,zhăngjià ,(VS)
掌聲,zhăngshēng ,(N)
帳單,zhàngdān ,(N)
丈夫,zhàngfū ,(N)
招呼,zhāohū ,(VA)
招手,zhāoshŏu ,(VA)
照,zhào ,(Adv)
照常,zhàocháng ,(VS)
召開,zhàokāi ,(VA)
折,zhé ,(VA)
折合,zhéhé ,(VA)
折扣,zhékòu ,(N)
折磨,zhémó ,(VA)
者,zhě ,(N)
針,zhēn ,(N)
針對,zhēnduì ,(Prep)
偵探,zhēntàn ,(N)
珍惜,zhēnxí ,(VS)
珍珠,zhēnzhū ,(N)
真心,zhēnxīn ,(N)
枕頭,zhěntou ,(N)
陣,zhèn ,(M)
陣子,zhènzi ,(N)
震動,zhèndòng ,(VA)
爭,zhēng ,(VA)
爭論,zhēnglùn ,(VA)
爭取,zhēngqŭ ,(VA)
睜,zhēng ,(VA)
徵求,zhēngqiú ,(VA)
正月,zhēngyuè ,(N)
整,zhěng ,(N)
整,zhěng ,(VS)
整潔,zhěngjié ,(VS)
整數,zhěngshù ,(N)
正,zhèng ,(VS)
正方形,zhèngfāngxíng ,(N)
正規,zhèngguī ,(VS)
正好,zhènghăo ,(Adv)
正好,zhènghăo ,(VS)
正經,zhèngjīng ,(VS)
正面,zhèngmiàn ,(N)
政策,zhèngcè ,(N)
政黨,zhèngdăng ,(N)
政府,zhèngfŭ ,(N)
證件,zhèngjiàn ,(N)
證據,zhèngjù ,(N)
證明,zhèngmíng ,(N)
證實,zhèngshí ,(VA)
症狀,zhèngzhuàng ,(N)
之,zhī ,(N)
之,zhī ,(P)
之後,zhīhòu ,(N)
之間,zhījiān ,(N)
之類,zhīlèi ,(N)
之前,zhīqián ,(N)
支,zhī,(M)
支持,zhīchí ,(VA)
支出,zhīchū ,(VA)
支票,zhīpiào ,(N)
支援,zhīyuán ,(VA)
直,zhí ,(Adv)
直接,zhíjiē ,(VS)
直線,zhíxiàn ,(Adv)
值,zhí ,(VS)
擲,zhí ,(VA)
職位,zhíwèi ,(N)
執行,zhíxíng ,(VA)
止,zhǐ ,(VS)
只,zhĭ,(M)
只是,zhĭshì ,(Adv)
指,zhĭ ,(VA)
指出,zhĭchū ,(VA)
指導,zhĭdăo ,(VA)
指定,zhĭdìng ,(VA)
指示,zhĭshì ,(N)
指示,zhĭshì ,(VA)
指責,zhǐzé ,(VA)
紙張,zhĭzhāng ,(N)
治,zhì ,(VA)
至,zhì ,(VA)
制定,zhìdìng ,(VA)
制止,zhìzhĭ,(VA)
志氣,zhìqì ,(N)
志願,zhìyuàn ,(N)
秩序,zhìxù ,(N)
製造,zhìzào ,(VA)
製作,zhìzuò ,(VA)
中,zhōng ,(VS)
中級,zhōngjí ,(N)
中年,zhōngnián ,(N)
中途,zhōngtú ,(N)
中央,zhōngyāng ,(N)
中藥,zhōngyào ,(N)
腫,zhŏng ,(VS)
種類,zhŏnglèi ,(N)
種子,zhŏngzĭ ,(N)
種族,zhŏngzú ,(N)
中,zhòng ,(VS)
中毒,zhòngdú ,(VS)
重,zhòng ,(VS)
重大,zhòngdà ,(VS)
重量,zhòngliàng ,(N)
重傷,zhòngshāng ,(N)
重傷,zhòngshāng ,(VS)
重心,zhòngxīn ,(N)
州,zhōu ,(N)
周/週,zhōu ,(M)
周到,zhōudào ,(VS)
粥,zhōu ,(N)
竹(子),zhú(zi),(N)
逐漸,zhújiàn ,(Adv)
主辦,zhŭbàn ,(VA)
主持,zhŭchí ,(VA)
主觀,zhŭguān ,(VS)
主角/角,zhŭjiăo/jué,(N)
主席,zhŭxí ,(N)
主張,zhŭzhāng ,(N)
主張,zhŭzhāng ,(VA)
祝賀,zhùhè ,(VA)
住院,zhùyuàn ,(VA)
住宅,zhùzhái ,(N)
住址,zhùzhĭ,(N)
注射,zhùshè ,(VA)
註冊,zhùcè ,(VA)
專家,zhuānjiā ,(N)
專利,zhuānlì ,(N)
專門,zhuānmén ,(VS)
專人,zhuānrén ,(N)
專業,zhuānyè ,(N)
轉,zhuăn ,(VS)
轉變,zhuănbiàn ,(VS)
轉播,zhuănbò ,(VA)
轉達,zhuăndá ,(VA)
轉告,zhuăngào ,(VA)
轉機,zhuănjī ,(VA)
轉身,zhuănshēn ,(VA)
轉向,zhuănxiàng ,(VA)
轉,zhuàn ,(VA)
賺,zhuàn ,(VA)
裝飾,zhuāngshì ,(VA)
壯,zhuàng ,(VS)
撞,zhuàng ,(VA)
狀況,zhuàngkuàng ,(N)
追,zhuī ,(VA)
准,zhŭn ,(VA)
准考證/証,zhŭnkăozhèng ,(N)
準,zhŭn ,(VS)
準確,zhŭnquè ,(VS)
捉,zhuō ,(VA)
桌,zhuō ,(M)
資本,zīběn ,(N)
資格,zīgé ,(N)
資金,zījīn ,(N)
資訊,zīxùn ,(N)
紫,zĭ ,(VS)
子女,zĭnǚ ,(N)
字幕,zìmù ,(N)
字母,zìmŭ ,(N)
自來水,zìláishuĭ,(N)
自然,zìrán ,(N)
自私,zìsī ,(VS)
自我,zìwǒ ,(N)
自信,zìxìn ,(N)
自願,zìyuàn ,(VS)
自主,zìzhŭ ,(VS)
總,zǒng ,(Adv)
總共,zǒnggòng ,(Adv)
總理,zǒnglĭ ,(N)
綜合,zònghé ,(VA)
綜合,zònghé ,(VS)
走道,zǒudào ,(N)
走私,zǒusī ,(VA)
足,zú,(VS)
足以,zúyĭ ,(VS)
組,zŭ ,(VA)
組織,zŭzhī ,(N)
阻礙,zŭài ,(VA)
阻止,zŭzhĭ,(VA)
祖國,zŭguó ,(N)
鑽,zuān ,(VA)
鑽石,zuànshí,(N)
罪,zuì ,(N)
最少,zuìshăo ,(Adv)
遵守,zūnshŏu ,(VS)
尊重,zūnzhòng ,(VS)
左右,zuŏyòu ,(N)
左右,zuŏyòu ,(N)
作,zuò ,(VA)
作家,zuòjiā ,(N)
作為,zuòwéi ,(VA)
作文,zuòwén ,(N)
作文,zuòwén ,(VA)
作用,zuòyòng ,(N)
做,zuò ,(VA)
做客,zuòkè ,(VA)
