詞彙,漢語拼音,詞類
高中,gāozhōng ,(N)
搞,găo ,(VA)
歌曲,gēqŭ  ,(N)
歌星,gēxīng ,(N)
隔壁,gébì ,(N)
革命,gémìng ,(VA)
個人,gèrén ,(N)
個子,gèzi ,(N)
各式各樣,gèshìgèyàng ,(VS)
各位,gèwèi ,(N)
個,ge,(P)
給,gěi,(Prep)
跟,gēn ,(Prep)
跟,gēn ,(VA)
根,gēn ,(M)
根,gēn ,(N)
根據,gēnjù ,(Prep)
更加,gèngjiā ,(Adv)
公尺,gōngchǐ ,(M)
公分,gōngfēn ,(M)
公共,gōnggòng ,(VS)
公克,gōngkè ,(M)
公路,gōnglù ,(N)
功夫,gōngfu ,(N)
功能,gōngnéng ,(N)
工具,gōngjù ,(N)
工業,gōngyè ,(N)
工作,gōngzuò,(VA)
恭喜,gōngxǐ,(VS)
共,gòng ,(Adv)
共同,gòngtóng ,(VS)
貢獻,gòngxiàn ,(N)
貢獻,gòngxiàn ,(VA)
溝通,gōutōng ,(VA)
夠,gòu ,(Adv)
夠,gòu ,(Adv)
購買,gòumăi ,(VA)
姑娘,gūniáng ,(N)
古,gŭ ,(VS)
古代,gŭdài ,(N)
古蹟,gŭjī ,(N)
古老,gŭlăo ,(VS)
顧,gù ,(VS)
故意,gùyì ,(VS)
刮,guā ,(VA)
乖,guāi,(VS)
怪,guài ,(VS)
怪,guài ,(VS)
關,guān ,(VS)
觀察,guānchá ,(VA)
觀點,guāndiăn ,(N)
觀念,guānniàn ,(N)
觀眾,guānzhòng ,(N)
管,guăn ,(VA)
罐,guàn ,(M)
廣播,guǎngbò ,(N)
廣播,guǎngbò ,(VA)
廣場,guăngchăng ,(N)
廣告,guănggào ,(N)
逛,guàng ,(VA)
逛街,guàngjiē ,(VA)
規矩,guījŭ ,(N)
規模,guīmó ,(N)
鬼,guǐ ,(N)
貴姓,guìxìng,(VS)
櫃子,guìzi ,(N)
國內,guónèi ,(N)
國外,guówài ,(N)
國王,guówáng ,(N)
國語,guóyŭ ,(N)
過,guò,(VA)
過去,guòqù,(N)
過日子,guòrìzi ,(VA)
嗨,hāi ,(P)
還,hái ,(Adv)
還好,háihăo  ,(Adv)
還是,háishì ,(Adv)
還要,háiyào  ,(Adv)
海報,hăibào  ,(N)
海灘,hăitān  ,(N)
海洋,hǎiyáng ,(N)
害,hài ,(VA)
害怕,hàipà,(VS)
行,háng ,(M)
航空,hángkōng ,(N)
好,hăo ,(VS)
好處,hǎochù ,(N)
