詞彙,漢語拼音,詞類
蛇,shé ,(N)
設備,shèbèi ,(N)
設計,shèjì ,(N)
設計,shèjì ,(VA)
深,shēn ,(VS)
深入,shēnrù ,(VS)
身邊,shēnbiān ,(N)
身高,shēngāo ,(N)
身上,shēnshàng ,(N)
甚至,shènzhì ,(Adv)
甚至,shènzhì ,(Conj)
升,shēng ,(VA)
聲,shēng ,(M)
聲調,shēngdiào ,(N)
生,shēng ,(VA)
生產,shēngchăn ,(VA)
生動,shēngdòng ,(VS)
生活,shēnghuó,(VA)
生命,shēngmìng ,(N)
生意,shēngyì ,(N)
生字,shēngzì ,(N)
省,shěng ,(VS)
省錢,shěngqián ,(VS)
剩,shèng ,(VS)
剩下,shèngxià ,(VS)
濕,shī ,(VS)
失戀,shīliàn ,(VS)
失去,shīqù ,(VS)
獅子,shīzi ,(N)
十分,shífēn ,(Adv)
石頭,shítou,(N)
石油,shíyóu ,(N)
時,shí ,(N)
時代,shídài ,(N)
時刻,shíkè ,(N)
實話,shíhuà ,(N)
實際,shíjì ,(VS)
實力,shílì ,(N)
實行,shíxíng ,(VA)
實在,shízài ,(VS)
使得,shĭde ,(VS)
使用,shǐyòng ,(VA)
事實,shìshí ,(N)
事業,shìyè ,(N)
適應,shìyìng ,(VS)
市長,shìzhăng ,(N)
收穫,shōuhuò ,(N)
收音機,shōuyīnjī ,(N)
熟,shóu ,(VS)
首,shǒu,(M)
手套,shŏutào,(N)
手續,shŏuxù  ,(N)
受得了,shòudeliăo  ,(VS)
書包,shūbāo,(N)
書架,shūjià ,(N)
蔬菜,shūcài ,(N)
舒適,shūshì ,(VS)
叔叔,shúshu,(N)
熟悉,shúxī ,(VS)
數,shŭ,(VA)
數字,shùzì ,(N)
樹木,shùmù ,(N)
刷牙,shuāyá,(VA)
帥,shuài ,(VS)
雙,shuāng ,(VS)
水餃,shuǐjiǎo ,(N)
水平,shuĭpíng ,(N)
水準,shuĭzhŭn ,(N)
睡著,shuìzháo ,(VS)
順便,shùnbiàn ,(Adv)
順利,shùnlì ,(VS)
說法,shuōfă ,(N)
說明,shuōmíng ,(N)
說明,shuōmíng ,(VA)
說起來,shuōqĭlái ,(Adv)
思考,sīkăo ,(VA)
思想,sīxiăng ,(N)
似乎,sìhū ,(Adv)
寺廟,sìmiào ,(N)
速度,sùdù ,(N)
算了,suànle ,(VS)
隨便,suíbiàn,(VS)
隨時,suíshí ,(Adv)
所,suǒ ,(M)
所,suŏ ,(Adv)
所謂,suŏwèi  ,(VS)
它,tā ,(N)
它們,tāmen ,(N)
台,tái ,(M)
抬,tái ,(VA)
颱風,táifēng ,(N)
態度,tàidù ,(N)
談話,tánhuà ,(VA)
堂,táng ,(M)
堂,táng,(N)
討厭,tǎoyàn,(VS)
套,tào ,(M)
特地,tèdì ,(Adv)
特色,tèsè ,(N)
特殊,tèshū ,(VS)
提,tí,(VA)
提到,tídào ,(VA)
提高,tígāo ,(VA)
提供,tígōng ,(VA)
題材,tícái ,(N)
題目,tímù ,(N)
體會,tĭhuì ,(VS)
體力,tĭlì ,(N)
體貼,tĭtiē ,(VS)
體重,tĭzhòng ,(N)
替,tì ,(Prep)
天堂,tiāntáng ,(N)
天天,tiāntiān,(Adv)
天下,tiānxià ,(N)
田,tián ,(N)
填,tián ,(VA)
甜點,tiándiăn ,(N)
條件,tiáojiàn ,(N)
挑戰,tiăozhàn ,(VA)
貼,tiē ,(VA)
鐵,tiě ,(N)
鐵路,tiělù ,(N)
聽見,tīngjiàn ,(VA)
聽力,tīnglì ,(N)
聽起來,tīngqĭlái ,(Adv)
聽眾,tīngzhòng ,(N)
挺,tĭng ,(Adv)
通,tōng ,(VS)
通過,tōngguò ,(VA)
通知,tōngzhī,(N)
同,tóng ,(Det)
同,tóng ,(Prep)
同情,tóngqíng  ,(VS)
同時,tóngshí ,(N)
同樣,tóngyàng ,(Adv)
同樣,tóngyàng ,(VS)
痛苦,tòngkǔ ,(VS)
投,tóu ,(VA)
投資,tóuzī  ,(VA)
頭,tóu ,(Det)
頭痛,tóutòng  ,(VS)
圖,tú ,(N)
突然,túrán  ,(Adv)
土,tǔ ,(N)
土地,tǔdì ,(N)
兔子,tùzi ,(N)
團體,tuántǐ ,(N)
團圓,tuányuán ,(VS)
推,tuī,(VA)
推薦,tuījiàn ,(VA)
推銷,tuīxiāo ,(VA)
退步,tuìbù ,(VS)
退休,tuìxiū ,(VS)
脫,tuō ,(VA)
娃娃(ㄨㄚ˙),wáwa ,(N)
外邊,wàibiān ,(N)
外公,wàigōng ,(N)
外婆,wàipó ,(N)
外文,wàiwén ,(N)
外語,wàiyǔ ,(N)
完成,wánchéng ,(VA)
完全,wánquán ,(Adv)
玩具,wánjù ,(N)
晚,wǎn ,(VS)
萬一,wànyī ,(Conj)
網,wăng ,(N)
網路,wănglù ,(N)
往往,wăngwăng  ,(Adv)
忘記,wàngjì ,(VS)
維持,wéichí ,(VS)
微笑,wéixiào ,(VA)
為主,wéizhŭ ,(VS)
偉大,wěidà ,(VS)
為,wèi ,(Prep)
未來,wèilái ,(N)
位置,wèizhì ,(N)
位子,wèizi ,(N)
溫柔,wēnróu ,(VS)
文件,wénjiàn ,(N)
文學,wénxué ,(N)
文字,wénzì ,(N)
聞,wén ,(VA)
穩定,wěndìng ,(VS)
問好,wènhăo ,(VA)
問候,wènhòu ,(VA)
握手,wòshǒu ,(VA)
屋子,wūzi ,(N)
無,wú ,(VS)
無法,wúfă ,(Adv)
無論如何,wúlùnrúhé ,(Conj)
無窮,wúqióng ,(VS)
無所謂,wúsuŏwèi ,(VS)
誤會,wùhuì ,(N)
物價,wùjià ,(N)
西北,xīběi ,(N)
西餐,xīcān ,(N)
西方,xīfāng ,(N)
西南,xīnán ,(N)
吸毒,xīdú ,(VA)
吸收,xīshōu ,(VA)
吸引,xīyĭn ,(VS)
犧牲,xīshēng ,(VS)
希望,xīwàng ,(N)
喜愛,xĭài ,(VS)
細,xì ,(VS)
細心,xìxīn  ,(VS)
戲,xì ,(N)
戲劇,xìjù ,(N)
系統,xìtŏng  ,(N)
下,xià ,(Det)
下,xià ,(M)
下,xià ,(N)
下,xià ,(VA)
下來(ㄌㄞ˙),xiàlai,
嚇,xià ,(VS)
嚇一跳,xiàyítiào  ,(VS)
線,xiàn ,(N)
現代,xiàndài ,(N)
現代,xiàndài ,(VS)
現實,xiànshí ,(N)
現實,xiànshí ,(VS)
現象,xiànxiàng ,(N)
限制,xiànzhì ,(N)
相當,xiāngdāng ,(Adv)
相對,xiāngduì ,(VS)
相反,xiāngfăn ,(VS)
相關,xiāngguān ,(VS)
相同,xiāngtóng ,(VS)
箱子,xiāngzi,(N)
香水,xiāngshuĭ,(N)
詳細,xiángxì ,(VS)
響,xiǎng ,(VS)
想到,xiăngdào ,(VA)
想法,xiǎngfǎ ,(N)
想像,xiăngxiàng ,(N)
想像,xiăngxiàng ,(VS)
項,xiàng ,(M)
相機,xiàngjī ,(N)
相聲,xiàngshēng ,(N)
小吃,xiăochī ,(N)
小朋友,xiǎopéngyǒu ,(N)
小組,xiăozŭ ,(N)
效果,xiàoguŏ,(N)
笑話,xiàohuà,(N)
孝順,xiàoshùn ,(VS)
些,xiē ,(Adv)
些,xiē ,(M)
協助,xiézhù ,(VA)
血,xiě ,(N)
謝,xiè ,(VS)
心得,xīndé ,(N)
心理,xīnlĭ ,(N)
心意,xīnyì ,(N)
欣賞,xīnshăng ,(VS)
新生,xīnshēng ,(N)
信,xìn ,(VS)
信箱,xìnxiāng ,(N)
信心,xìnxīn ,(N)
興奮,xīngfèn ,(VS)
行,xíng,(VS)
行動,xíngdòng ,(N)
行為,xíngwéi ,(N)
形容,xíngróng ,(VA)
醒,xĭng ,(VA)
醒來,xĭnglái ,(VS)
姓,xìng ,(N)
性別,xìngbié ,(N)
性格,xìnggé ,(N)
幸好,xìnghăo ,(Adv)
幸虧,xìngkuī ,(Adv)
幸運,xìngyùn ,(VS)
兇,xiōng ,(VS)
兄弟,xiōngdì ,(N)
熊貓,xióngmāo ,(N)
修,xiū ,(VA)
修改,xiūgăi ,(VA)
修理,xiūlĭ  ,(VA)
需求,xūqiú  ,(N)
需要,xūyào ,(N)
選,xuǎn ,(VA)
選舉,xuănjŭ ,(N)
選擇,xuǎnzé ,(N)
選擇,xuǎnzé ,(VA)
學會,xuéhuì ,(VA)
學問,xuéwèn ,(N)
尋找,xúnzhăo ,(VA)
訓練,xùnliàn ,(VA)
呀,yā ,(P)
鴨(子),yā(zi) ,(N)
押金,yājīn ,(N)
牙,yá ,(N)
牙齒,yáchǐ ,(N)
煙火,yānhuŏ ,(N)
研究,yánjiù ,(N)
研究,yánjiù ,(VA)
嚴重,yánzhòng ,(VS)
演,yăn ,(VA)
演出,yănchū ,(VA)
演講,yănjiăng ,(VA)
演員,yănyuán ,(N)
眼光,yănguāng ,(N)
眼淚,yănlèi ,(N)
陽光,yángguāng ,(N)
養,yăng ,(VA)
樣,yàng ,(M)
樣樣,yàngyàng ,(Det)
邀請,yāoqĭng ,(VA)
要求,yāoqiú ,(N)
要求,yāoqiú ,(VA)
咬,yăo ,(VA)
要,yào ,(Adv)
要不然,yàobùrán ,(Conj)
要不是,yàobúshì ,(Conj)
要緊,yàojǐn ,(VS)
野餐,yěcān ,(VA)
也好,yěhăo ,(P)
頁,yè ,(M)
夜裡/裏,yèlǐ/lǐ ,(N)
夜市,yèshì ,(N)
一下子/一下子兒,yīxiàzi/yīxiàzir,(N)
衣櫃,yīguì ,(N)
依靠,yīkào ,(VA)
一塊/一塊兒,yíkuài/yíkuàir,(Adv)
一切,yíqiè,(Det)
一向,yíxiàng ,(Adv)
一樣,yíyàng ,(N)
已,yĭ ,(Adv)
以,yĭ ,(Prep)
以後,yĭhòu,(N)
以來,yĭlái ,(N)
以免,yĭmiăn ,(Conj)
以內,yĭnèi ,(N)
以前,yĭqián,(N)
以上,yĭshàng ,(N)
以上,yĭshàng ,(N)
以外,yĭwài ,(N)
以為,yǐwéi ,(VA)
以下,yĭxià ,(N)
以下,yĭxià ,(N)
一般來說,yìbānláishuō ,(Conj)
一點/一點兒,yìdiǎn/yìdiǎnr,(Adv)
一方面,yìfāngmiàn ,(Conj)
一連,yìlián ,(Adv)
一生,yìshēng ,(N)
一時,yìshí ,(N)
一同,yìtóng ,(Adv)
意見,yìjiàn ,(N)
意外,yìwài ,(N)
意義,yìyì ,(N)
陰,yīn ,(VS)
因此,yīncǐ ,(Conj)
音響,yīnxiăng ,(N)
引起,yĭnqĭ,(VA)
應,yīng ,(Adv)
應該,yīnggāi ,(VS)
英俊,yīngjùn ,(VS)
營養,yíngyăng ,(N)
影片,yĭngpiàn ,(N)
擁有,yŏngyŏu ,(VS)
用,yòng,(Prep)
用法,yòngfă ,(N)
用功,yònggōng ,(VS)
用品,yòngpĭn ,(N)
優點,yōudiăn ,(N)
優秀,yōuxiù ,(VS)
幽默,yōumò ,(VS)
郵票,yóupiào,(N)
尤其,yóuqí ,(Adv)
遊客,yóukè ,(N)
游泳池,yóuyŏngchí,(N)
由於,yóuyú ,(Conj)
有(一)點/有(一)點兒,yǒu(yì)diăn/yǒu(yì)diănr,(Adv)
有的,yǒude ,(Det)
有名,yǒumíng ,(VS)
有錢,yǒuqián ,(VS)
有效,yŏuxiào ,(VS)
有意思,yǒuyìsi,(VS)
友誼,yŏuyí ,(N)
於是,yúshì ,(Conj)
與,yǔ ,(Conj)
與,yǔ ,(Prep)
玉,yù ,(N)
玉米,yùmǐ ,(N)
預備,yùbèi ,(VA)
預備,yùbèi ,(VA)
預習,yùxí ,(VA)
遇到,yùdào ,(VA)
圓,yuán ,(N)
員工,yuángōng ,(N)
原諒,yuánliàng ,(VS)
原因,yuányīn ,(N)
願望,yuànwàng ,(N)
院子,yuànzi,(N)
約,yuē ,(Adv)
約會,yuēhuì ,(N)
約會,yuēhuì ,(VA)
越,yuè ,(Adv)
月餅,yuèbĭng  ,(N)
閱讀,yuèdú ,(VA)
樂團,yuètuán ,(N)
運氣,yùnqì ,(N)
在,zài ,(VA)
在意,zàiyì ,(VS)
在於,zàiyú ,(VS)
早,zăo ,(Adv)
早日,zăorì ,(Adv)
早晚,zăowăn ,(N)
造成,zàochéng ,(VA)
噪音,zàoyīn ,(N)
責任,zérèn ,(N)
增加,zēngjiā ,(VS)
炸/炸,zhà/zhá ,(VA)
摘,zhāi ,(VA)
站,zhàn,(N)
暫時,zhànshí ,(Adv)
戰爭,zhànzhēng ,(N)
長,zhǎng,(VA)
長大,zhǎngdà ,(VS)
掌握,zhăngwò ,(VA)
障礙,zhàngài ,(N)
招待,zhāodài ,(VA)
招牌,zhāopái ,(N)
找錢,zhǎoqián ,(VA)
照,zhào ,(Prep)
照,zhào ,(VA)
哲學,zhéxué ,(N)
這裏,zhèlĭ,(N)
這下子,zhèxiàzi ,(N)
這樣,zhèyàng,(VS)
這樣子,zhèyàngzi ,(Adv)
這樣子,zhèyàngzi ,(VS)
真的,zhēnde ,(Adv)
真理,zhēnlĭ,(N)
真實,zhēnshí ,(VS)
真是,zhēnshì ,(Adv)
真心,zhēnxīn ,(VS)
真正,zhēnzhèng ,(Adv)
真正,zhēnzhèng ,(VS)
珍貴,zhēnguì ,(VS)
整,zhěng ,(Det)
整理,zhěnglĭ ,(VA)
整齊,zhěngqí ,(VS)
正,zhèng ,(Adv)
正常,zhèngcháng ,(VS)
正確,zhèngquè ,(VS)
正式,zhèngshì ,(VS)
證明,zhèngmíng ,(VA)
證書,zhèngshū ,(N)
支,zhī ,(M)
知,zhī ,(VS)
知識,zhīshì ,(N)
之後,zhīhòu ,(N)
之間,zhījiān ,(N)
之前,zhīqián,(N)
直,zhí ,(VS)
直到,zhídào ,(Prep)
值得,zhídé ,(VS)
殖民地,zhímíndì ,(N)
植物,zhíwù ,(N)
職員,zhíyuán ,(N)
指,zhǐ ,(VA)
只是,zhĭshì ,(Conj)
只要,zhǐyào ,(Conj)
只有,zhǐyǒu ,(Adv)
只有,zhĭyŏu ,(Conj)
制度,zhìdù ,(N)
智慧,zhìhuì ,(N)
至少,zhìshăo ,(Adv)
至於,zhìyú ,(Prep)
中,zhōng ,(N)
中部,zhōngbù ,(N)
中餐,zhōngcān ,(N)
終於,zhōngyú ,(Adv)
鐘,zhōng ,(N)
種,zhòng,(VA)
重點,zhòngdiăn ,(N)
重視,zhòngshì ,(VS)
周圍,zhōuwéi ,(N)
主動,zhŭdòng ,(VS)
主婦,zhŭfù ,(N)
主管,zhŭguăn ,(N)
主人,zhǔrén ,(N)
主任,zhǔrèn ,(N)
主題,zhŭtí ,(N)
主要,zhǔyào ,(VS)
主要,zhŭyào ,(Adv)
主意,zhǔyì ,(N)
祝,zhù,(VA)
祝福,zhùfú ,(N)
祝福,zhùfú ,(VA)
助,zhù ,(VA)
助理,zhùlĭ ,(N)
著名,zhùmíng ,(VS)
抓,zhuā ,(VA)
專心,zhuānxīn ,(VS)
專業,zhuānyè ,(VS)
狀態,zhuàngtài ,(N)
追求,zhuīqiú ,(VA)
準時,zhŭnshí ,(VS)
著,zhuó ,(VA)
資料,zīliào ,(N)
資源,zīyuán ,(N)
仔細,zĭxì ,(VS)
自從,zìcóng ,(Prep)
自動,zìdòng ,(VS)
自然,zìrán ,(VS)
自殺,zìshā ,(VA)
自信,zìxìn ,(VS)
自由,zìyóu ,(N)
自由,zìyóu ,(VS)
自在,zìzài ,(VS)
宗教,zōngjiào ,(N)
總而言之,zǒngéryánzhī ,(Conj)
總算,zǒngsuàn ,(Adv)
總統,zǒngtǒng ,(N)
總之,zǒngzhī ,(Conj)
走走,zǒuzǒu ,(VA)
組,zŭ ,(M)
祖父,zŭfù ,(N)
祖母,zŭmŭ ,(N)
祖先,zŭxiān ,(N)
嘴,zuǐ ,(N)
醉,zuì ,(VS)
最初,zuìchū ,(N)
最多,zuìduō ,(Adv)
最好,zuìhǎo ,(Adv)
最後,zuìhòu ,(N)
最佳,zuìjiā ,(VS)
最近,zuìjìn,(N)
尊敬,zūnjìng ,(VS)
作,zuò ,(VA)
作品,zuòpĭn ,(N)
作者,zuòzhě ,(N)
座,zuò ,(M)
做/作法,zuòfă ,(N)
做夢,zuòmèng ,(VA)
做人,zuòrén ,(VA)
做事,zuòshì ,(VA)
